"","nA","nB","rA","rB","yi","vi","RoB"
"1",349,700,155,333,-0.127213684069955,0.0173340507218135,"Low"
"2",1581,1584,714,698,0.0443418334017512,0.00511529568957977,"Low"
"3",42,42,29,19,0.993401709287647,0.2075156753607,"High"
"4",177,174,12,15,-0.260184822994559,0.162349914236707,"Low"
"5",264,268,59,55,0.108486445244265,0.04470385518543,"Low"
"6",184,190,109,103,0.205038899117781,0.0437106359975797,"Low"
"7",48,50,6,8,-0.287682072451781,0.339285714285714,"High"
"8",146,131,107,88,0.293130489547616,0.0696062703506737,"High"
"9",139,138,96,79,0.511237667212972,0.0632798610106292,"High"
"10",18,20,7,2,1.74523945359316,0.789321789321789,"High"
"11",1067,1037,642,668,-0.180992394730574,0.00811760666351944,"High"
"12",62,59,40,41,-0.225363308052523,0.15040034491254,"High"
"13",142,153,104,121,-0.323249903382027,0.0754456368989862,"High"
"14",76,92,32,45,-0.274968619178796,0.0974760906941758,"High"
"15",69,68,41,45,-0.289800717312066,0.125805012708512,"High"
"16",239,212,160,138,0.0825373708137704,0.039668118173209,"High"
"17",10,10,10,8,1.82074700610131,2.61288515406162,"High"
"18",12,23,8,13,0.430782916092454,0.551923076923077,"High"
